index,acc_x,acc_z,resp,pzt,eda,emg
1,512,615,464,526,2,33
2,512,615,464,527,2,33
3,512,615,464,527,2,33
4,512,613,463,526,2,33
5,512,616,463,526,2,33
6,513,615,464,523,2,33
7,512,615,463,522,2,33
8,512,615,463,521,2,33
9,512,615,463,519,2,33
10,514,615,464,516,2,33
11,512,615,465,514,2,33
12,512,614,464,512,2,33
13,512,615,466,512,2,33
14,513,614,466,510,2,33
15,512,615,467,509,2,33
16,512,615,468,508,2,33
17,512,615,467,508,2,33
18,512,615,468,509,2,33
19,512,615,468,513,2,33
20,512,614,469,514,2,33
21,512,614,468,515,2,33
22,512,615,469,515,2,33
23,512,615,469,518,2,33
24,511,615,469,519,2,33
25,512,614,470,521,2,33
26,513,615,470,521,2,33
27,512,615,471,524,2,33
28,512,615,471,525,2,33
29,512,614,471,527,2,33
30,513,615,471,526,2,33
31,512,614,471,525,2,33
32,512,615,472,524,2,33
33,512,614,472,523,2,33
34,512,615,473,520,2,33
35,512,615,473,521,2,33
36,512,614,473,521,2,33
37,512,615,474,520,2,33
38,513,615,473,519,2,33
39,512,614,474,522,2,33
40,512,615,474,522,2,33
41,513,615,475,524,2,33
42,513,615,474,524,2,33
43,512,615,475,526,2,33
44,512,615,475,526,2,33
45,512,615,476,530,2,33
46,513,615,475,529,2,33
47,512,615,476,530,2,33
48,511,615,476,528,2,33
49,512,614,475,527,2,33
50,513,615,475,524,2,33
51,512,615,476,523,2,33
52,512,614,475,521,2,33
53,512,615,476,519,2,33
54,512,615,476,517,2,33
55,512,615,476,517,2,33
56,512,615,476,516,2,33
57,512,615,476,515,2,33
58,513,615,476,513,2,33
59,512,614,476,515,2,33
60,512,615,476,515,2,33
61,512,615,476,517,2,33
62,512,615,476,518,2,33
63,512,615,475,519,2,33
64,512,614,475,522,2,33
65,512,615,475,522,2,33
66,513,615,475,519,2,33
67,512,616,476,518,2,33
68,512,615,476,519,2,33
69,511,615,477,520,2,33
70,513,615,478,520,2,33
71,512,615,479,523,2,33
72,512,615,479,525,2,33
73,512,615,479,529,2,33
74,512,615,480,528,2,33
75,512,615,480,529,2,33
76,512,614,479,528,2,33
77,512,614,480,528,2,33
78,513,615,479,526,2,33
79,512,615,479,526,2,33
80,513,615,479,524,2,33
81,512,615,478,522,2,33
82,514,615,477,519,2,33
83,512,616,477,518,2,33
84,513,615,476,517,2,33
85,513,614,476,519,2,33
86,513,615,475,517,2,33
87,512,615,475,518,2,33
88,513,615,474,518,2,33
89,512,615,475,519,2,33
90,513,615,474,519,2,33
91,512,615,474,521,2,33
92,512,615,474,521,2,33
93,512,615,473,523,2,33
94,513,615,473,522,2,33
95,512,615,473,522,2,33
96,512,615,472,519,2,33
97,512,614,472,518,2,33
98,512,615,472,516,2,33
99,512,615,472,516,2,33
100,512,614,473,515,2,33
101,512,615,473,515,2,33
102,513,615,473,514,2,33
103,512,614,474,515,2,33
104,512,615,475,518,2,33
105,512,614,475,520,2,33
106,512,615,476,519,2,33
107,512,615,476,521,2,33
108,512,615,476,520,2,33
