index,resp
1,661
2,674
3,685
4,693
5,699
6,705
7,708
8,711
9,714
10,713
11,711
12,705
13,697
14,688
15,678
16,665
17,652
18,636
19,618
20,596
21,572
22,543
23,512
24,480
25,451
26,423
27,396
28,370
29,347
30,325
31,304
32,286
33,268
34,251
35,236
36,221
37,207
38,194
39,182
40,171
41,160
42,151
43,141
44,132
45,124
46,116
47,109
48,102
49,97
50,93
51,88
52,83
53,78
54,73
55,68
56,64
57,60
58,59
59,56
60,55
61,54
62,56
63,59
64,64
65,71
66,81
67,92
68,106
69,124
70,145
71,169
72,194
73,219
74,245
75,269
76,293
77,317
78,343
79,368
80,397
81,428
82,463
83,498
84,533
85,566
86,597
87,624
88,651
89,674
90,696
91,716
92,736
93,753
94,770
95,786
96,800
97,814
98,827
99,839
100,849
101,859
102,868
103,877
104,886
105,893
106,900
107,908
108,915
109,923
110,928
111,935
112,940
113,945
114,951
115,955
116,959
117,963
118,967
119,971
120,974
121,977
122,980
123,982
124,984
125,985
126,986
127,988
128,988
129,987
130,985
131,982
132,980
133,978
134,977
135,975
136,972
137,969
138,966
139,963
140,961
141,959
142,957
143,955
144,952
145,950
146,947
147,945
148,944
149,942
150,939
151,936
152,931
153,927
154,923
155,919
156,915
157,912
158,909
159,906
160,903
161,902
162,901
163,901
164,900
165,900
166,900
167,900
168,900
169,902
170,903
171,906
172,908
173,910
174,913
175,916
176,919
177,923
178,926
179,929
180,932
181,934
182,937
183,939
184,941
185,943
186,947
187,952
188,956
189,961
190,966
191,971
192,975
193,979
194,983
195,985
196,988
197,991
198,993
199,994
200,995
201,996
202,996
203,996
204,997
205,996
206,996
207,995
208,993
209,991
210,987
211,983
212,977
213,971
214,964
215,956
216,948
217,939
218,931
219,922
220,914
221,907
222,899
223,891
224,882
225,870
226,856
227,839
228,819
229,796
230,770
231,744
232,715
233,686
234,655
235,621
236,583
237,547
238,512
239,478
240,447
241,417
242,391
243,366
244,343
245,321
246,302
247,283
248,265
249,249
250,234
251,219
252,205
253,193
254,181
255,170
256,159
257,149
258,140
259,131
260,123
261,116
262,108
263,101
264,95
265,89
266,84
267,78
268,73
269,69
270,64
271,60
272,56
273,53
274,50
275,47
276,44
277,41
278,39
279,37
280,35
281,34
282,34
283,33
284,34
285,35
286,38
287,41
288,47
289,53
290,60
291,67
292,74
293,81
294,92
295,104
296,118
297,134
298,150
299,167
300,185
301,204
302,224
303,245
304,268
305,292
306,319
307,348
308,381
309,414
310,448
311,481
312,516
313,550
314,582
315,611
316,637
317,662
318,685
319,705
320,725
321,743
322,761
323,777
324,792
325,807
326,820
327,832
328,844
329,855
330,865
331,873
332,880
333,884
334,888
335,888
336,889
337,889
338,891
339,894
340,897
341,901
342,905
343,910
344,914
345,919
346,924
347,928
348,931
349,935
350,939
351,942
352,944
353,946
354,949
355,952
356,956
357,960
358,961
359,963
360,964
361,964
362,963
363,961
364,956
365,950
366,945
367,942
368,939
369,937
370,935
371,934
372,933
373,932
374,932
375,931
376,931
377,929
378,928
379,927
380,926
381,926
382,927
383,928
384,928
385,929
386,929
387,929
388,930
389,930
390,930
391,930
392,930
393,930
394,930
395,931
396,930
397,930
398,930
399,931
400,931
401,931
402,932
403,934
404,936
405,939
406,943
407,946
408,949
409,952
410,953
411,955
412,958
413,960
414,962
415,963
416,964
417,965
418,966
419,966
420,966
421,966
422,967
423,968
424,970
425,970
426,970
427,969
428,968
429,966
430,964
431,962
432,959
433,955
434,951
435,946
436,940
437,935
438,929
439,923
440,918
441,912
442,907
443,902
444,895
445,888
446,879
447,869
448,858
449,846
450,834
451,821
452,809
453,797
454,784
455,771
456,756
457,741
458,726
459,710
460,694
461,677
462,660
463,643
464,625
465,605
466,584
467,559
468,532
469,504
470,474
471,444
472,416
473,390
474,365
475,342
476,320
477,300
478,282
479,264
480,248
481,232
482,218
483,204
484,192
485,180
486,169
487,158
488,148
489,139
490,131
491,123
492,115
493,108
494,101
495,95
496,89
497,83
498,78
499,73
500,68
501,64
502,60
503,56
504,53
505,49
506,46
507,43
508,41
509,38
510,36
511,34
512,33
513,34
514,35
515,37
516,39
517,42
518,45
519,47
520,50
521,52
522,54
523,55
524,58
525,61
526,67
527,71
528,77
529,83
530,89
531,96
