index,acc_x,acc_z,resp,pzt,eda,emg
1,0,0,483,2,0,0
2,0,0,484,2,0,63
3,0,0,486,2,0,0
4,3,0,487,2,0,63
5,0,0,491,2,0,0
6,0,0,496,2,0,63
7,0,0,502,2,0,0
8,3,0,508,2,0,63
9,0,0,514,2,0,0
10,0,0,520,2,0,63
11,0,0,527,2,0,0
12,3,0,534,2,0,63
13,0,0,540,2,0,0
14,0,0,547,2,0,63
15,0,0,553,2,0,0
16,1,0,560,2,0,63
17,0,0,567,2,0,0
18,0,0,573,3,0,63
19,0,0,579,3,0,0
20,3,0,585,3,0,63
21,0,0,591,3,0,0
22,0,0,599,3,0,63
23,0,0,609,3,0,0
24,3,0,619,3,0,63
25,0,0,630,3,0,0
26,0,0,640,3,0,63
27,0,0,651,3,0,0
28,0,0,662,3,0,63
29,0,0,673,3,0,0
30,0,0,682,3,0,63
31,0,0,692,4,0,0
32,3,0,701,4,0,63
33,0,0,710,4,0,0
34,0,0,719,4,0,63
35,0,0,726,4,0,0
36,3,0,732,4,0,63
37,0,0,738,4,0,0
38,0,0,743,4,0,63
39,0,0,750,4,0,0
40,3,0,757,4,0,63
41,0,0,761,4,0,0
42,0,0,764,5,0,63
43,0,0,763,4,0,0
44,3,0,760,5,0,63
45,0,0,756,5,0,6
46,0,0,750,4,0,63
47,0,0,741,4,0,0
48,0,0,730,4,0,63
49,0,0,717,4,0,0
50,0,0,704,4,0,63
51,0,0,691,4,0,0
52,3,0,679,3,0,63
53,0,0,666,3,0,0
54,0,0,654,3,0,63
55,0,0,639,3,0,0
56,3,0,621,3,0,63
57,0,0,601,3,0,0
58,0,0,580,3,0,63
59,0,0,559,2,0,0
60,1,0,536,2,0,63
61,0,0,515,2,0,0
62,0,0,494,2,0,63
63,0,0,474,2,0,0
64,3,0,455,1,0,63
65,0,0,439,1,0,0
66,0,0,423,1,0,63
67,0,0,409,1,0,0
68,3,0,393,1,0,63
69,0,0,375,1,0,0
70,0,0,355,1,0,63
71,0,0,332,1,0,0
72,3,0,311,0,0,63
73,0,0,291,0,0,0
74,0,0,273,0,0,63
75,0,0,255,0,0,0
76,3,0,239,0,0,63
77,0,0,224,0,0,0
78,0,0,210,0,0,63
79,0,0,196,0,0,0
80,3,0,185,0,0,63
81,0,0,175,0,0,0
82,0,0,166,0,0,63
83,0,0,159,0,0,0
84,3,0,153,0,0,63
85,0,0,147,0,0,0
86,0,0,143,0,0,63
87,0,0,138,0,0,0
88,3,0,132,0,0,63
89,0,0,127,0,0,0
90,0,0,121,0,0,63
91,0,0,117,0,0,0
92,0,0,113,0,0,63
93,0,0,112,0,0,0
94,0,0,112,0,0,63
95,0,0,115,0,0,0
96,3,0,117,0,0,63
97,0,0,119,0,0,0
98,0,0,120,0,0,63
99,0,0,123,0,0,0
100,3,0,124,0,0,63
101,0,0,127,0,0,0
102,0,0,132,0,0,63
103,0,0,139,0,0,0
104,1,0,149,0,0,63
105,0,0,160,0,0,0
106,0,0,173,0,0,63
107,0,0,187,0,0,0
108,3,0,199,0,0,63
109,0,0,213,0,0,0
110,0,0,227,0,0,63
111,0,0,240,0,0,0
112,3,0,255,0,0,63
113,0,0,269,0,0,0
114,0,0,287,0,0,63
115,0,0,338,0,0,0
116,3,0,384,1,0,63
117,0,0,422,1,0,0
118,0,0,437,1,0,63
119,0,0,417,1,0,0
120,3,0,383,1,0,53
121,0,0,352,1,0,59
122,0,0,327,0,0,63
123,0,0,303,0,0,0
124,3,0,281,0,0,63
125,0,0,262,0,0,0
126,0,0,262,0,0,63
127,0,0,273,0,0,0
128,3,0,303,0,0,63
129,0,0,327,0,0,0
130,0,0,353,1,0,63
131,0,0,379,1,0,0
132,3,0,405,1,0,63
133,0,0,433,1,0,0
134,0,0,458,1,0,63
135,0,0,480,1,0,0
136,0,0,504,2,0,63
137,0,0,533,2,0,0
138,0,0,567,3,0,63
139,0,0,597,3,0,0
140,3,0,624,3,0,63
141,0,0,650,3,0,0
142,0,0,673,3,0,54
143,0,0,693,4,0,4
144,3,0,706,4,0,63
145,0,0,711,4,0,0
146,0,0,703,4,0,63
147,0,0,684,4,0,0
148,1,0,661,3,0,63
149,0,0,641,3,0,6
150,0,0,626,3,0,63
151,0,0,618,3,0,0
152,3,0,621,3,0,63
153,0,0,639,3,0,0
154,0,0,670,3,0,63
155,0,0,696,4,0,0
156,3,0,720,4,0,63
157,0,0,739,4,0,0
158,0,0,757,4,0,63
159,0,0,773,5,0,0
160,3,0,784,5,0,63
161,0,0,788,5,0,0
162,0,0,788,5,0,63
163,0,0,783,5,0,0
164,3,0,769,5,0,63
165,0,0,749,4,0,0
166,0,0,726,4,0,63
167,0,0,698,4,0,0
168,1,0,665,3,0,63
169,0,0,631,3,0,0
170,0,0,599,3,0,63
171,0,0,573,3,0,0
172,3,0,552,2,0,63
173,0,0,542,2,0,0
174,0,0,542,2,0,63
175,0,0,552,2,0,0
176,3,0,574,3,0,63
177,0,0,608,3,0,0
178,0,0,639,3,0,63
179,0,0,667,3,0,0
180,0,0,692,4,0,63
181,0,0,713,4,0,0
182,0,0,728,4,0,63
183,0,0,735,4,0,0
184,3,0,734,4,0,63
185,0,0,713,4,0,0
186,0,0,667,3,0,63
187,0,0,616,3,0,0
188,3,0,573,3,0,63
189,0,0,531,2,0,0
190,0,0,494,2,0,63
191,0,0,459,1,0,0
192,3,0,427,1,0,63
193,0,0,400,1,0,0
194,0,0,387,1,0,63
195,0,0,387,1,0,0
196,3,0,415,1,0,63
197,0,0,460,1,0,0
198,0,0,503,2,0,63
199,0,0,542,2,0,0
200,3,0,578,3,0,63
201,0,0,609,3,0,0
202,0,0,638,3,0,63
203,0,0,664,3,0,0
204,3,0,683,3,0,63
205,0,0,697,4,0,0
206,0,0,708,4,0,63
207,0,0,719,4,0,0
208,3,0,731,4,0,63
209,0,0,750,4,0,0
210,0,0,767,5,0,63
211,0,0,784,5,0,2
212,1,0,800,5,0,63
213,0,0,813,5,0,0
214,0,0,826,5,0,63
215,0,0,839,6,0,0
216,3,0,849,6,0,63
217,0,0,852,6,0,0
218,0,0,832,6,0,63
219,0,0,802,5,0,0
220,3,0,790,5,0,63
221,0,0,792,5,0,0
222,0,0,807,5,0,63
223,0,0,825,6,0,0
224,0,0,841,6,0,63
225,0,0,855,6,0,0
226,0,0,865,6,0,63
227,0,0,876,6,0,0
228,3,0,886,6,0,63
229,0,0,893,7,0,0
230,0,0,901,7,0,63
231,0,0,909,7,0,0
232,3,0,916,7,0,63
233,0,0,923,7,0,0
234,0,0,928,7,0,63
235,0,0,934,7,0,0
236,3,0,940,7,0,63
237,0,0,945,7,0,0
238,0,0,949,7,0,63
239,0,0,954,7,0,0
240,3,0,958,7,0,63
241,0,0,962,7,0,0
242,0,0,966,7,0,63
243,0,0,969,7,0,0
244,3,0,972,7,0,63
245,0,0,976,7,0,0
246,0,0,978,8,0,63
247,0,0,980,8,0,0
248,3,0,984,8,0,63
249,0,0,986,8,0,0
250,0,0,988,8,0,63
251,0,0,990,8,0,0
252,3,0,992,8,0,63
253,0,0,994,8,0,0
254,0,0,996,8,0,63
255,0,0,998,8,0,0
256,1,0,999,8,0,63
