index,acc_x,acc_z,resp,pzt,eda,emg
1,0,0,726,501,0,31
2,3,0,723,500,0,32
3,0,0,719,498,0,31
4,0,0,715,496,0,31
5,0,0,712,495,0,31
6,3,0,709,496,0,32
7,0,0,706,495,0,32
8,0,0,704,496,0,31
9,0,0,702,496,0,31
10,3,0,700,496,0,31
11,0,0,697,497,0,31
12,0,0,696,497,0,31
13,0,0,694,498,0,31
14,3,0,691,499,0,31
15,0,0,690,498,0,31
16,0,0,690,496,0,31
17,0,0,688,496,0,31
18,0,0,687,493,0,31
19,0,0,684,492,0,31
20,0,0,682,491,0,32
21,0,0,681,492,0,32
22,3,0,680,491,0,31
23,0,0,678,491,0,31
24,0,0,675,491,0,32
25,0,0,674,489,0,31
26,3,0,672,487,0,31
27,0,0,669,482,0,31
28,0,0,668,475,0,31
29,0,0,665,464,0,31
30,1,0,664,454,0,31
31,0,0,663,449,0,31
32,0,0,662,447,0,31
33,0,0,659,447,0,31
34,3,0,659,451,0,32
35,0,0,659,462,0,32
36,0,0,657,473,0,32
37,0,0,655,487,0,31
38,3,0,655,500,0,32
39,0,0,654,514,0,31
40,0,0,653,525,0,32
41,0,0,653,536,0,31
42,3,0,652,546,0,31
43,0,0,651,553,0,31
44,0,0,649,558,0,31
45,0,0,648,560,0,31
46,3,0,646,565,0,32
47,0,0,645,565,0,31
48,0,0,645,565,0,31
49,0,0,644,563,0,31
50,1,0,643,561,0,31
51,0,0,643,557,0,31
52,0,0,643,551,0,31
53,0,0,643,544,0,32
54,3,0,643,539,0,32
55,0,0,643,533,0,32
56,0,0,642,527,0,32
57,0,0,643,523,0,31
58,3,0,642,519,0,31
59,0,0,642,515,0,31
60,0,0,642,514,0,32
61,0,0,642,511,0,32
62,0,0,641,508,0,31
63,0,0,641,504,0,31
64,0,0,642,501,0,32
65,0,0,642,497,0,31
66,3,0,643,495,0,31
67,0,0,643,490,0,32
68,0,0,644,487,0,32
69,0,0,644,486,0,31
70,3,0,645,488,0,31
71,0,0,646,489,0,31
72,0,0,646,491,0,31
73,0,0,646,494,0,31
74,3,0,647,494,0,31
75,0,0,648,494,0,31
76,0,0,649,494,0,32
77,0,0,650,493,0,31
78,3,0,652,493,0,31
79,0,0,653,492,0,31
80,0,0,655,494,0,31
81,0,0,657,495,0,31
82,3,0,658,498,0,31
83,0,0,659,502,0,31
84,0,0,660,504,0,31
85,0,0,660,503,0,31
86,3,0,660,502,0,32
87,0,0,660,501,0,31
88,0,0,661,501,0,32
89,0,0,660,501,0,31
90,3,0,659,501,0,31
91,0,0,658,499,0,31
92,0,0,656,497,0,31
93,0,0,656,496,0,31
94,1,0,655,492,0,32
95,0,0,655,489,0,31
96,0,0,656,488,0,31
97,0,0,656,486,0,31
98,3,0,657,484,0,32
99,0,0,657,484,0,31
100,0,0,656,486,0,32
101,0,0,656,488,0,31
102,3,0,655,490,0,32
103,0,0,655,491,0,31
104,0,0,655,492,0,32
105,0,0,656,493,0,31
106,0,0,656,494,0,31
107,0,0,657,496,0,31
108,0,0,659,498,0,32
109,0,0,660,496,0,31
110,3,0,660,495,0,31
111,0,0,660,494,0,31
112,0,0,658,494,0,31
113,0,0,655,493,0,31
114,3,0,654,493,0,32
115,0,0,652,491,0,31
116,0,0,649,488,0,32
117,0,0,648,486,0,31
118,3,0,647,486,0,31
119,0,0,644,486,0,31
120,0,0,642,485,0,32
121,0,0,639,485,0,32
122,3,0,636,487,0,31
123,0,0,632,489,0,31
124,0,0,628,493,0,32
125,0,0,624,496,0,31
126,3,0,622,500,0,31
127,0,0,619,505,0,31
128,0,0,617,510,0,32
129,0,0,615,515,0,31
130,3,0,612,519,0,31
131,0,0,612,521,0,31
132,0,0,610,523,0,32
133,0,0,611,525,0,31
134,3,0,612,529,0,31
135,0,0,611,531,0,31
136,0,0,612,534,0,31
137,0,0,612,533,0,31
138,1,0,611,531,0,31
139,0,0,611,526,0,31
140,0,0,611,522,0,32
141,0,0,611,518,0,31
142,3,0,611,514,0,31
143,0,0,611,510,0,31
144,0,0,611,509,0,31
145,0,0,611,507,0,31
146,3,0,609,506,0,32
147,0,0,608,502,0,32
148,0,0,608,499,0,31
149,0,0,606,499,0,31
150,0,0,606,499,0,32
151,0,0,605,500,0,32
152,0,0,603,501,0,32
153,0,0,602,501,0,31
154,3,0,600,499,0,31
155,0,0,598,498,0,31
156,0,0,597,499,0,32
157,0,0,595,501,0,31
158,3,0,592,503,0,31
159,0,0,591,505,0,31
160,0,0,588,504,0,32
161,0,0,586,501,0,31
162,3,0,585,500,0,31
163,0,0,583,499,0,31
164,0,0,581,501,0,31
165,0,0,579,502,0,31
166,3,0,577,502,0,31
167,0,0,575,504,0,31
168,0,0,572,503,0,32
169,0,0,571,504,0,31
170,0,0,569,504,0,32
171,0,0,568,502,0,31
172,0,0,566,500,0,31
173,0,0,565,502,0,32
174,3,0,564,502,0,31
175,0,0,563,502,0,31
176,0,0,562,504,0,32
177,0,0,561,503,0,31
178,3,0,561,501,0,32
179,0,0,560,501,0,31
180,0,0,559,498,0,32
181,0,0,559,496,0,31
182,1,0,559,495,0,31
183,0,0,559,492,0,31
184,0,0,559,491,0,31
185,0,0,558,490,0,31
186,3,0,560,487,0,31
187,0,0,561,487,0,31
188,0,0,563,491,0,31
189,0,0,564,491,0,31
190,3,0,568,492,0,32
191,0,0,574,494,0,31
192,0,0,582,495,0,31
193,0,0,591,498,0,31
194,3,0,603,501,0,31
195,0,0,615,501,0,31
196,0,0,626,503,0,31
197,0,0,638,502,0,31
198,3,0,652,500,0,31
199,0,0,665,499,0,31
200,0,0,678,498,0,31
201,0,0,691,496,0,31
202,3,0,702,493,0,31
203,0,0,710,494,0,31
204,0,0,713,492,0,32
205,0,0,714,493,0,31
206,3,0,712,492,0,31
207,0,0,711,491,0,31
208,0,0,707,492,0,31
209,0,0,704,495,0,31
210,3,0,701,499,0,31
211,0,0,699,505,0,32
212,0,0,696,510,0,32
213,0,0,693,517,0,31
214,0,0,691,524,0,31
215,0,0,688,528,0,31
216,0,0,685,533,0,31
217,0,0,683,537,0,31
218,3,0,682,540,0,32
219,0,0,681,541,0,31
220,0,0,680,539,0,31
221,0,0,679,536,0,31
222,3,0,679,532,0,31
223,0,0,679,528,0,31
224,0,0,678,525,0,31
225,0,0,676,520,0,31
226,1,0,675,515,0,31
227,0,0,674,512,0,31
228,0,0,671,507,0,32
