index,acc_x,acc_z,resp,pzt,eda,emg
1,591,457,527,492,25,33
2,591,458,528,487,25,33
3,592,459,527,485,25,33
4,591,458,527,483,25,33
5,591,459,528,483,25,33
6,591,459,528,485,25,33
7,591,457,529,487,25,33
8,591,458,529,490,25,33
9,591,459,529,492,25,33
10,591,458,530,495,25,33
11,591,459,530,499,25,33
12,591,459,530,503,25,33
13,591,458,530,506,25,33
14,592,458,530,511,25,33
15,590,458,530,515,25,33
16,591,458,530,517,25,33
17,591,459,531,519,25,33
18,591,458,531,520,25,33
19,591,457,531,521,25,33
20,591,458,531,518,25,33
21,591,458,531,516,25,33
22,592,458,531,512,25,33
23,591,459,531,508,25,33
24,591,458,531,502,25,33
25,591,458,532,497,25,33
26,592,458,531,493,25,33
27,591,458,531,488,25,33
28,591,459,530,484,25,33
29,591,458,530,479,25,33
30,592,459,529,476,25,33
31,591,458,529,476,25,33
32,591,459,529,475,25,33
33,591,458,528,476,25,33
34,592,458,528,478,25,33
35,591,458,527,479,25,33
36,591,458,527,480,25,33
37,591,459,526,480,25,33
38,592,457,525,479,25,33
39,591,458,524,479,25,33
40,591,457,522,479,25,33
41,591,458,520,479,25,33
42,592,458,519,478,25,33
43,591,458,516,477,25,33
44,591,458,515,476,25,33
45,591,457,512,475,25,33
46,591,458,511,475,25,33
47,591,459,509,472,25,33
48,591,458,507,471,25,33
49,591,458,504,471,25,33
50,592,458,502,471,25,33
51,591,458,499,472,25,33
52,591,457,497,471,25,33
53,591,458,495,472,25,33
54,591,458,492,472,25,33
55,591,458,489,474,25,33
56,591,458,487,476,25,33
57,591,457,485,476,25,33
58,591,457,482,475,25,33
59,591,459,480,477,25,33
60,591,459,477,478,25,33
61,591,458,475,479,25,33
62,591,458,473,479,25,33
63,591,458,471,478,25,33
64,591,457,470,479,25,33
65,591,458,467,480,25,33
66,592,458,466,482,25,33
67,591,458,464,482,25,33
68,591,458,463,481,25,33
69,591,458,462,483,25,33
70,591,458,461,486,25,33
71,591,458,460,493,25,33
72,591,458,460,504,25,33
73,591,457,460,517,25,33
74,592,458,460,532,25,33
75,591,458,460,545,25,33
76,591,459,460,556,25,33
77,591,458,460,566,25,33
78,591,458,461,574,25,33
79,591,457,462,579,25,33
80,591,457,464,583,25,33
81,591,458,466,583,25,33
82,591,457,469,580,25,33
83,591,458,471,576,25,33
84,591,458,474,569,25,33
85,590,458,478,561,25,33
86,592,457,481,554,25,33
87,591,457,486,545,25,33
88,591,458,491,534,25,33
89,591,457,497,526,25,33
90,592,457,503,518,25,33
91,591,458,509,510,25,33
92,591,458,515,502,25,33
