index,acc_x,acc_z,resp,pzt,eda,emg
227,608,545,391,0,24,33
228,607,543,391,0,24,33
229,607,544,392,0,24,33
230,607,545,392,0,24,33
231,608,545,391,0,24,33
232,607,544,391,0,24,33
233,607,543,390,0,24,33
234,608,544,390,0,24,33
235,608,545,390,0,24,33
236,607,544,388,0,24,33
237,607,544,388,0,24,33
238,608,545,386,0,24,33
239,608,545,385,0,24,33
240,606,544,383,65,24,33
241,607,544,382,181,24,33
242,608,545,381,285,24,33
243,608,545,380,384,24,33
244,607,545,380,462,24,33
245,607,544,379,530,24,33
246,608,544,378,578,24,33
247,608,545,377,619,24,33
248,606,543,376,637,24,33
249,606,543,375,652,24,33
250,607,545,374,650,24,33
251,608,544,373,650,24,33
252,607,544,372,636,24,33
253,606,543,371,627,24,33
254,608,544,371,609,24,33
255,609,545,371,598,24,33
256,607,543,370,577,24,33
257,607,543,371,566,24,33
258,608,543,369,548,24,33
259,609,545,369,543,24,33
260,608,544,369,533,24,33
261,607,543,369,533,24,33
262,607,544,369,527,24,33
263,609,545,368,530,24,33
264,607,545,369,527,24,33
265,607,544,367,535,24,33
266,607,544,367,533,24,33
267,608,545,366,540,24,33
268,608,544,365,540,24,33
269,606,544,364,547,24,33
270,607,545,365,547,24,33
271,609,544,364,553,24,33
272,607,544,366,551,24,33
273,607,543,367,556,24,33
274,607,544,368,551,24,33
275,609,545,368,555,24,33
276,607,544,370,550,24,33
277,606,543,372,554,24,33
278,607,544,374,548,24,33
279,609,545,377,551,24,33
280,607,545,380,545,24,33
281,607,543,383,550,24,33
282,607,543,386,544,24,33
283,608,545,389,545,24,33
284,607,545,393,539,24,33
285,606,543,397,542,24,33
286,607,544,400,540,24,33
287,608,545,404,552,24,33
288,607,545,408,563,24,33
289,607,545,412,585,24,33
290,607,544,417,607,24,32
291,608,545,422,638,24,33
292,608,544,427,662,24,33
293,607,543,432,697,24,33
294,607,543,437,763,24,33
295,608,544,442,911,24,33
296,607,545,446,970,24,33
