index,resp
1,655
2,655
3,657
4,658
5,660
6,663
7,666
8,668
9,670
10,672
11,673
12,675
13,676
14,676
15,678
16,678
17,678
18,679
19,679
20,680
21,680
22,681
23,681
24,682
25,681
26,681
27,680
28,680
29,679
30,679
31,679
32,679
33,679
34,679
35,678
36,677
37,676
38,674
39,673
40,671
41,668
42,665
43,663
44,659
45,657
46,654
47,652
48,648
49,646
50,643
51,641
52,639
53,636
54,634
55,632
56,629
57,626
58,623
59,620
60,617
61,614
62,610
63,607
64,603
65,599
66,595
67,591
68,588
69,584
70,580
71,576
72,572
73,568
74,563
75,559
76,554
77,549
78,543
79,538
80,532
81,527
82,521
83,516
84,510
85,504
86,498
87,493
88,488
89,485
90,480
91,475
92,470
93,466
94,462
95,457
96,453
97,448
98,443
99,437
100,432
101,427
102,422
103,417
104,412
105,408
106,403
107,399
108,396
109,393
110,390
111,387
112,384
113,381
114,377
115,372
116,368
117,364
118,360
119,357
120,353
121,351
122,349
123,348
124,345
125,343
126,339
127,335
128,331
129,327
130,323
131,319
132,316
133,313
134,311
135,308
136,306
137,304
138,301
139,299
140,295
141,294
142,291
143,290
144,288
145,287
146,286
147,285
148,284
149,282
150,280
151,279
152,278
153,276
154,275
155,275
156,273
157,272
158,271
159,271
160,271
161,271
162,270
163,271
164,271
165,271
166,272
167,273
168,273
169,273
170,273
171,273
172,272
173,271
174,271
175,271
176,271
177,271
178,272
179,273
180,273
181,274
182,275
183,275
184,275
185,275
186,276
187,278
188,279
189,281
190,283
191,284
192,284
193,285
194,286
195,287
196,287
197,288
198,288
199,289
200,291
201,292
202,294
203,295
204,296
205,298
206,299
207,301
208,302
209,303
210,304
211,306
212,307
213,309
214,311
215,313
216,315
217,318
218,321
219,323
220,324
221,327
222,328
223,330
224,332
225,334
226,336
227,339
228,342
229,344
230,347
231,350
232,353
233,355
234,358
235,362
236,364
237,368
238,371
239,375
240,377
241,380
242,383
243,385
244,387
245,389
246,391
247,393
248,396
249,398
250,401
251,403
252,406
253,408
254,411
255,414
256,416
257,419
258,421
259,423
260,426
261,429
262,432
263,434
264,436
265,439
266,440
267,443
268,445
269,447
270,449
271,452
272,454
273,456
274,458
275,461
276,463
277,466
278,468
279,470
280,472
281,476
282,479
283,482
284,485
285,488
286,490
287,492
288,494
289,495
290,496
291,496
292,499
293,502
294,507
295,512
296,517
297,520
298,523
299,525
300,526
301,527
302,530
303,533
304,536
305,539
306,542
307,544
308,545
309,547
310,548
311,550
312,550
313,551
314,551
315,553
316,554
317,555
318,556
319,557
320,558
321,559
322,561
323,563
324,566
325,568
326,572
327,576
328,579
329,583
330,586
331,591
332,595
333,600
334,605
335,610
336,615
337,619
338,623
339,627
340,631
341,635
342,640
343,646
344,650
345,655
346,659
347,664
348,668
349,672
350,676
351,681
352,686
353,690
354,695
355,699
356,703
357,706
358,711
359,715
360,719
361,724
362,728
363,733
364,737
365,741
366,743
367,746
368,750
369,753
370,757
371,761
372,766
373,770
374,775
375,780
376,787
377,792
378,799
379,805
380,811
381,818
382,824
383,830
384,836
385,843
386,849
387,856
388,863
389,870
390,878
391,887
392,895
393,903
394,910
395,918
396,924
397,930
398,936
399,940
400,944
401,945
402,945
403,945
404,944
405,941
406,937
407,934
408,930
409,927
410,923
411,919
412,914
413,909
414,904
415,899
416,893
417,888
418,882
419,876
420,869
421,856
422,833
423,803
424,770
425,742
426,720
427,703
428,684
429,664
430,643
431,625
432,606
433,588
434,568
435,546
436,524
437,502
438,477
439,452
440,431
441,412
442,396
443,379
444,367
445,352
446,336
447,319
448,302
449,283
450,265
451,249
452,233
453,219
454,205
455,192
456,180
457,169
458,159
459,149
460,140
461,137
462,137
463,139
464,144
465,150
466,155
467,163
468,178
469,201
470,234
471,281
472,318
473,347
474,372
475,395
476,415
477,432
478,447
479,457
480,464
481,469
482,473
483,476
484,481
485,490
486,503
487,520
488,543
489,569
490,598
491,626
492,652
493,676
494,699
495,719
496,738
497,755
498,772
499,788
500,802
501,815
502,816
503,798
504,775
505,750
506,725
507,692
508,668
509,651
510,639
511,648
512,677
513,704
514,728
515,750
516,769
517,787
518,804
519,820
520,833
521,845
522,856
523,866
524,876
525,886
526,894
527,902
528,910
529,917
530,924
531,930
532,935
533,939
534,941
535,941
536,936
537,931
538,924
539,913
540,902
541,890
542,875
543,860
544,844
545,825
546,808
547,791
548,771
549,750
550,727
551,702
552,675
553,647
554,618
555,589
556,561
557,531
558,504
559,478
560,456
561,435
562,414
563,395
564,375
565,358
566,346
567,337
568,329
569,323
570,319
571,315
572,312
573,311
574,313
575,319
576,326
577,334
578,343
579,353
580,362
581,370
582,377
583,382
584,385
585,386
586,386
587,385
588,381
589,376
590,369
591,363
592,355
593,348
594,340
595,332
596,325
597,316
598,306
599,296
600,283
601,270
602,255
603,241
604,227
605,214
606,200
607,188
608,176
609,165
610,154
611,145
612,135
613,127
614,119
615,112
616,104
617,98
618,92
619,86
620,81
621,77
622,72
623,68
624,63
625,59
626,55
627,52
628,49
629,46
630,43
631,40
632,37
633,35
634,33
635,31
636,29
637,27
638,25
639,24
640,24
641,25
642,28
643,31
644,33
645,35
646,36
647,39
648,41
649,44
650,48
651,53
652,57
653,62
654,66
655,70
656,72
657,74
658,76
659,80
660,83
661,88
662,91
663,95
664,99
665,103
666,107
667,111
668,114
669,116
670,117
671,118
672,118
673,118
674,115
675,112
676,105
677,96
678,88
679,81
680,74
681,67
682,62
683,57
684,52
685,48
686,44
687,41
688,37
689,34
690,31
691,30
692,27
693,25
694,23
695,22
696,20
697,19
698,17
699,16
700,15
