acc_x,acc_z,resp,pzt,eda,emg
426,505,681,369,4,33
425,504,683,366,4,33
425,504,684,365,4,33
425,504,686,363,4,33
425,505,688,364,4,33
426,506,690,366,4,33
427,503,694,368,4,33
425,507,698,370,4,32
423,505,702,370,4,33
425,506,704,370,4,32
425,505,706,370,4,33
425,506,707,371,4,32
425,506,707,371,4,33
425,506,706,372,4,33
426,508,705,373,4,33
426,509,704,374,4,33
424,510,704,373,4,33
425,508,704,372,4,33
425,508,706,373,4,33
425,508,710,374,4,33
425,506,712,376,4,33
424,505,716,377,4,32
423,505,718,379,4,33
423,504,720,380,4,33
423,504,722,378,4,33
424,504,724,377,4,32
424,504,724,376,4,33
424,504,726,373,4,32
424,504,727,368,4,33
424,504,729,364,4,32
424,505,730,361,4,33
424,506,732,358,4,33
423,507,732,356,4,33
423,507,733,355,4,32
422,508,733,354,4,33
423,508,734,355,4,33
425,509,734,356,4,33
418,505,735,358,4,33
425,514,736,363,4,33
431,517,738,372,4,32
430,515,738,388,4,33
426,513,738,409,4,33
423,514,736,440,4,33
423,515,735,483,4,33
423,515,732,539,4,33
422,513,731,607,4,33
423,512,729,681,4,33
422,512,728,756,4,33
422,512,728,826,4,33
419,511,728,887,4,33
415,509,726,937,4,33
415,513,723,969,4,32
419,515,720,972,4,33
425,516,716,972,4,32
430,517,712,972,4,33
431,520,707,972,4,32
429,521,703,968,4,33
428,522,699,937,4,32
429,522,695,904,4,33
428,523,692,869,4,32
429,520,690,834,4,33
430,522,688,798,4,32
430,524,687,764,4,33
430,527,685,733,4,33
430,529,682,705,4,33
429,526,679,678,4,33
431,526,675,651,4,33
433,527,671,623,4,32
430,528,667,596,4,33
429,531,664,569,4,33
424,533,663,544,4,33
423,532,663,521,4,32
422,532,664,504,4,33
424,531,663,487,4,33
426,530,663,475,4,33
430,531,662,467,4,33
432,530,660,463,4,33
435,527,657,463,4,32
436,527,654,467,4,33
438,529,651,472,4,32
436,530,649,477,4,33
435,531,647,481,4,32
435,533,644,484,4,33
431,531,643,486,4,32
424,530,643,487,4,33
421,524,643,487,4,33
408,523,643,486,4,33
424,520,644,483,4,32
427,521,646,477,4,33
426,520,647,470,4,33
426,520,648,461,4,33
427,520,649,452,4,33
425,520,649,442,4,33
426,519,647,432,4,33
427,518,644,423,4,33
427,517,639,415,4,33
426,517,633,408,4,33
426,519,629,401,4,32
427,519,626,393,4,33
428,520,625,387,4,33
429,519,624,382,4,33
428,519,624,378,4,32
427,521,625,375,4,33
427,521,624,373,4,33
425,525,624,371,4,33
427,526,625,370,4,32
430,524,627,369,4,33
432,525,631,369,4,32
430,528,632,368,4,33
430,525,634,367,4,33
427,528,633,368,4,33
428,527,633,368,4,32
428,527,632,368,4,33
430,527,632,368,4,32
429,528,633,368,4,33
430,527,633,369,4,32
429,528,635,369,4,33
430,527,634,371,4,33
429,528,633,372,4,32
431,526,633,371,4,33
430,527,633,372,4,33
431,524,632,370,4,32
429,524,631,370,4,33
427,523,630,370,4,32
425,524,628,369,4,33
426,523,627,368,4,32
427,523,624,367,4,33
428,523,622,367,4,32
427,523,619,368,4,33
427,523,616,369,4,32
429,522,611,370,4,32
430,523,607,370,4,33
430,523,602,369,4,33
430,524,596,369,4,33
431,525,590,368,4,33
431,526,586,368,4,32
430,525,582,370,4,33
430,525,578,372,4,32
430,525,573,374,4,33
430,525,568,375,4,33
430,526,563,376,4,33
428,524,559,378,4,32
426,523,553,381,4,33
427,524,549,384,4,33
425,525,544,387,4,33
426,526,540,388,4,32
426,526,536,391,4,33
428,525,531,391,4,32
428,526,527,390,4,33
429,525,524,388,4,32
431,524,520,385,4,33
432,524,517,385,4,33
431,523,515,387,4,33
429,524,513,391,4,33
428,523,511,400,4,33
430,523,509,413,4,33
430,520,506,433,4,33
428,521,504,461,4,32
428,520,503,496,4,33
427,520,502,545,4,33
425,519,502,601,4,33
427,519,502,664,4,33
427,520,503,726,4,33
428,520,504,785,4,32
428,521,504,836,4,33
427,521,503,875,4,33
428,521,502,902,4,33
429,521,500,915,4,32
428,522,499,916,4,33
428,521,499,908,4,33
428,521,500,888,4,33
429,520,502,864,4,33
428,520,502,833,4,33
428,519,500,799,4,32
426,519,497,766,4,33
428,519,493,733,4,33
427,519,489,703,4,33
426,519,485,675,4,32
427,519,481,647,4,33
427,519,480,622,4,32
428,519,480,596,4,33
428,520,482,575,4,32
428,520,485,555,4,33
428,519,489,536,4,32
427,520,494,518,4,33
427,519,498,501,4,32
428,519,503,489,4,33
429,519,507,479,4,32
428,519,510,471,4,33
428,519,512,466,4,32
427,518,514,464,4,33
428,518,515,465,4,32
428,518,515,467,4,33
428,518,515,472,4,32
428,518,515,476,4,33
428,518,513,480,4,32
428,519,512,486,4,33
427,518,511,491,4,32
428,519,510,492,4,33
428,519,510,494,4,32
427,519,510,492,4,33
427,518,510,490,4,32
427,519,510,486,4,33
428,519,510,480,4,32
428,519,509,472,4,32
427,518,508,466,4,33
427,519,507,456,4,33
428,518,505,447,4,33
428,519,504,437,4,33
428,519,503,428,4,33
427,518,500,418,4,33
429,518,498,409,4,32
428,519,495,403,4,33
428,519,492,398,4,32
428,519,488,393,4,33
429,518,483,390,4,32
427,518,480,388,4,33
427,518,475,385,4,32
427,519,472,385,4,33
428,518,468,385,4,32
427,518,465,385,4,33
428,518,462,385,4,33
428,518,459,384,4,33
427,519,456,385,4,33
427,519,454,386,4,33
427,519,450,387,4,32
428,519,447,391,4,33
429,519,444,392,4,32
428,519,441,394,4,33
428,518,439,396,4,32
428,517,437,397,4,32
428,517,435,397,4,32
428,517,434,396,4,33
428,518,433,395,4,32
428,518,432,392,4,33
428,519,432,390,4,32
427,518,431,389,4,33
427,519,431,388,4,33
428,519,430,390,4,33
429,519,429,391,4,32
428,520,428,393,4,33
427,519,427,393,4,32
428,520,426,395,4,33
429,519,425,397,4,33
428,519,425,399,4,33
428,519,424,401,4,32
428,520,423,400,4,33
429,520,423,399,4,33
428,520,422,397,4,33
428,519,422,396,4,33
428,520,420,396,4,33
429,520,420,396,4,32
427,520,421,395,4,34
427,520,423,395,4,32
427,519,425,398,4,33
428,519,426,402,4,32
427,519,427,408,4,33
428,519,427,417,4,32
427,519,425,431,4,32
429,520,423,447,4,32
428,519,421,472,4,33
427,519,419,506,4,32
428,519,418,547,4,33
428,519,418,594,4,32
427,520,419,643,4,33
427,520,422,691,4,32
427,521,425,734,4,33
427,520,430,768,4,32
428,520,435,792,4,33
427,520,441,805,4,32
428,519,447,810,4,33
429,520,452,805,4,32
428,521,457,792,4,33
428,521,462,772,4,33
427,521,465,751,4,33
429,521,469,727,4,32
428,520,472,700,4,33
428,520,475,674,4,33
428,520,478,645,4,33
429,521,481,617,4,33
428,521,484,588,4,33
428,521,487,562,4,32
428,521,489,536,4,33
428,521,492,512,4,33
428,521,494,492,4,33
428,522,495,475,4,32
428,521,497,459,4,33
428,521,498,446,4,32
427,521,499,437,4,33
426,521,499,433,4,33
427,521,498,433,4,33
428,521,497,438,4,32
427,521,496,445,4,33
427,522,496,452,4,33
427,521,495,463,4,32
429,521,495,472,4,32
428,523,495,480,4,33
427,523,495,487,4,33
429,521,494,492,4,33
432,521,493,496,4,32
430,523,492,496,4,33
429,524,490,492,4,32
429,523,488,487,4,33
430,524,486,481,4,32
428,524,484,473,4,33
427,525,482,468,4,32
428,524,480,460,4,33
429,524,479,453,4,32
429,524,477,445,4,33
428,523,476,439,4,32
428,524,474,431,4,33
428,523,472,423,4,32
430,524,470,418,4,33
429,524,468,412,4,32
428,524,466,405,4,33
428,523,464,399,4,32
426,524,463,396,4,33
427,523,461,392,4,33
427,524,460,388,4,33
427,523,459,388,4,33
427,523,459,388,4,33
427,523,458,387,4,32
427,523,458,389,4,33
428,523,458,390,4,32
427,523,459,393,4,33
427,522,460,396,4,32
427,523,461,399,4,32
428,523,462,402,4,32
426,522,462,402,4,33
425,521,463,403,4,33
427,521,463,404,4,33
426,521,462,406,4,33
426,521,462,409,4,33
427,522,463,409,4,32
427,523,463,411,4,33
427,521,463,411,4,32
427,522,463,413,4,33
426,522,463,417,4,32
425,522,463,426,4,33
425,522,464,440,4,32
426,523,466,459,4,33
426,523,468,485,4,32
424,525,471,518,4,33
422,527,473,560,4,32
431,525,475,607,4,33
431,518,476,653,4,32
433,514,476,699,4,33
432,514,475,737,4,32
430,516,473,768,4,33
426,517,472,790,4,32
424,516,471,803,4,33
424,518,470,807,4,32
425,519,468,803,4,33
424,519,466,791,4,33
426,519,465,776,4,32
427,521,465,756,4,32
425,521,465,735,4,33
423,521,466,709,4,33
423,523,465,684,4,33
