index,resp
1,755
2,757
3,759
4,760
5,762
6,764
7,767
8,770
9,772
10,775
11,779
12,781
13,783
14,785
15,787
16,789
17,791
18,793
19,794
20,796
21,798
22,799
23,800
24,801
25,803
26,804
27,805
28,806
29,806
30,806
31,806
32,806
33,805
34,805
35,804
36,804
37,804
38,803
39,803
40,803
41,802
42,801
43,800
44,799
45,798
46,797
47,796
48,795
49,795
50,793
51,793
52,792
53,791
54,790
55,789
56,788
57,786
58,784
59,781
60,779
61,776
62,774
63,771
64,768
65,765
66,761
67,756
68,751
69,746
70,742
71,737
72,733
73,728
74,723
75,716
76,710
77,702
78,693
79,684
80,675
81,665
82,656
83,647
84,639
85,631
86,622
87,613
88,604
89,595
90,585
91,576
92,567
93,558
94,548
95,539
96,530
97,521
98,512
99,503
100,495
101,486
102,477
103,469
104,461
105,453
106,446
107,439
108,432
109,424
110,416
111,408
112,400
113,392
114,384
115,377
116,371
117,364
118,358
119,352
120,346
121,340
122,333
123,326
124,319
125,312
126,305
127,300
128,294
129,288
130,283
131,277
132,271
133,266
134,260
135,255
136,250
137,244
138,240
139,236
140,232
141,229
142,225
143,221
144,216
145,211
146,207
147,201
148,196
149,191
150,185
151,180
152,175
153,169
154,163
155,158
156,152
157,145
158,139
159,133
160,127
161,120
162,115
163,109
164,104
165,98
166,94
167,89
168,84
169,79
170,74
171,70
172,65
173,61
174,57
175,54
176,51
177,47
178,44
179,41
180,39
181,36
182,34
183,31
184,30
185,28
186,26
187,24
188,24
189,22
190,20
191,19
192,18
193,17
194,16
195,15
196,15
197,14
198,13
199,13
200,13
201,12
202,12
203,12
204,12
205,13
206,14
207,15
208,15
209,15
210,16
211,16
212,15
213,15
214,15
215,15
216,16
217,16
218,17
219,18
220,20
221,22
222,23
223,25
224,27
225,28
226,31
227,32
228,35
229,38
230,41
231,45
232,49
233,53
234,57
235,61
236,65
237,69
238,73
239,78
240,83
241,89
242,95
243,102
244,110
245,118
246,127
247,136
248,147
249,156
250,166
251,177
252,188
253,199
254,211
255,222
256,234
257,245
258,257
259,270
260,283
261,295
262,311
263,327
264,347
265,367
266,389
267,412
268,436
269,460
270,484
271,508
272,532
273,554
274,574
275,592
276,609
277,624
278,637
279,650
280,662
281,673
282,684
283,694
284,704
285,713
286,721
287,729
288,736
289,743
290,750
291,757
292,763
293,768
294,774
295,779
296,785
297,791
298,796
299,800
300,805
301,809
302,814
303,817
304,822
305,827
306,831
307,835
308,840
309,844
310,848
311,852
312,855
313,858
314,861
315,864
316,867
317,870
318,872
319,875
320,878
321,880
322,883
323,886
324,888
325,889
326,891
327,892
328,894
329,894
330,895
331,896
332,897
333,899
334,900
335,901
336,902
337,902
338,903
339,903
340,903
341,903
342,904
343,904
344,903
345,903
346,901
347,900
348,899
349,897
350,895
351,894
352,892
353,890
354,888
355,885
356,883
357,880
358,877
359,873
360,870
361,865
362,862
363,858
364,855
365,851
366,848
367,843
368,839
369,834
370,830
371,826
372,823
373,819
374,815
375,809
376,805
377,800
378,796
379,792
380,788
381,784
382,780
383,776
384,773
385,768
386,764
387,760
388,755
389,750
390,746
391,741
392,737
393,733
394,729
395,726
396,723
397,719
398,716
399,712
400,707
401,702
402,695
403,686
404,675
405,665
406,654
407,644
408,635
409,625
410,614
411,602
412,590
413,575
414,561
415,546
416,531
417,516
418,502
419,487
420,473
421,459
422,445
423,432
424,420
425,409
426,399
427,389
428,381
429,371
430,363
431,355
432,347
433,339
434,331
435,324
436,316
437,309
438,302
439,295
440,289
441,284
442,278
443,271
444,267
445,261
446,257
447,252
448,248
449,243
450,238
451,233
452,228
453,224
454,221
455,217
456,215
457,212
458,210
459,208
460,206
461,204
462,202
463,200
464,199
465,197
466,195
467,194
468,193
469,193
470,192
