index,acc_x,acc_z,resp,pzt,eda,emg
1,406,320,307,510,0,0
2,405,318,307,505,0,0
3,403,314,307,510,0,0
4,400,311,307,508,0,0
5,398,307,306,510,0,0
6,395,302,306,508,0,0
7,393,297,306,510,0,0
8,392,293,306,507,0,0
9,390,289,306,509,0,0
10,390,288,306,508,0,0
11,389,295,306,510,0,0
12,389,315,306,507,0,0
13,388,357,306,511,0,0
14,388,430,305,508,0,0
15,387,532,305,510,0,0
16,386,662,304,506,0,0
17,385,811,304,511,0,0
18,384,966,303,509,0,0
19,382,975,302,512,0,0
20,380,975,302,508,0,0
21,377,975,302,510,0,0
22,375,975,301,508,0,0
23,372,975,301,509,0,0
24,370,975,302,507,0,0
25,368,975,303,511,0,0
26,367,975,303,505,0,0
27,366,975,303,508,0,0
28,366,975,303,508,0,0
29,365,975,303,510,0,0
30,365,975,304,509,0,0
31,365,975,303,509,0,0
32,366,975,304,506,0,0
33,366,975,304,511,0,0
34,366,975,303,507,0,0
35,366,975,304,509,0,0
36,368,975,304,508,0,0
37,368,972,304,509,0,0
38,370,829,305,507,0,0
39,372,705,305,513,0,0
40,376,598,305,506,0,0
41,379,513,306,511,0,0
42,384,450,306,511,0,0
43,388,412,307,510,0,0
44,392,397,307,508,0,0
45,396,399,307,509,0,0
46,401,413,307,508,0,0
47,405,433,307,510,0,0
48,409,456,308,506,0,0
49,414,479,308,510,0,0
50,419,498,308,510,0,0
51,424,513,308,509,0,0
52,429,524,308,507,0,0
53,435,525,307,510,0,0
54,440,519,308,507,0,0
55,446,508,308,506,0,0
56,452,488,308,505,0,0
57,459,467,308,511,0,0
58,465,441,308,507,0,0
59,472,413,308,508,0,0
60,479,383,308,505,0,0
61,486,355,308,508,0,0
62,492,328,309,507,0,0
63,497,306,309,510,0,0
64,503,287,309,509,0,0
65,508,270,309,510,0,0
66,512,259,309,508,0,0
67,516,254,310,508,0,0
68,519,252,310,508,0,0
69,522,254,310,511,0,0
70,524,259,310,507,0,0
71,526,266,310,508,0,0
72,528,275,310,509,0,0
73,530,288,310,512,0,0
74,532,297,310,512,0,0
75,533,307,310,512,0,0
76,534,313,310,508,0,0
77,534,317,310,510,0,0
78,535,319,310,504,0,0
79,536,316,310,509,0,0
80,539,313,309,506,0,0
