acc_x,acc_z,resp,pzt,eda,emg
533,599,519,971,4,43
533,602,520,972,4,23
540,596,520,972,4,42
547,598,520,971,4,23
540,598,519,971,4,43
528,596,519,971,4,23
520,597,519,971,4,43
517,601,519,970,4,23
510,615,519,883,4,42
521,740,518,802,4,23
402,575,518,726,4,42
485,669,516,659,4,23
531,636,516,603,4,43
504,549,515,560,4,23
450,619,514,529,4,42
404,575,513,508,4,23
542,560,512,495,4,43
557,576,512,492,4,23
526,589,511,496,4,42
509,598,510,502,4,23
492,589,510,511,4,42
555,619,510,520,4,23
588,671,509,526,4,43
568,607,509,532,4,23
547,584,509,534,4,43
519,581,508,530,4,23
514,588,508,524,4,42
516,590,508,517,4,23
515,589,508,507,4,43
529,587,508,496,4,23
515,586,508,481,4,43
509,584,508,465,4,23
496,612,508,449,4,42
522,617,508,435,4,23
595,572,508,420,4,43
609,536,508,408,4,23
543,720,508,398,4,43
486,541,508,390,4,23
491,578,508,382,4,42
474,551,508,376,4,23
477,583,508,372,4,43
475,586,509,368,4,23
472,579,509,367,4,42
470,580,509,366,4,23
469,570,509,365,4,43
470,589,510,365,4,23
470,594,510,364,4,43
468,604,510,362,4,23
468,609,511,359,4,42
473,600,511,356,4,23
473,589,511,355,4,43
472,583,512,353,4,23
475,582,513,352,4,42
483,583,514,350,4,23
487,580,515,348,4,43
491,585,516,345,4,23
492,593,517,343,4,43
494,590,518,341,4,23
493,584,519,339,4,43
493,583,519,339,4,23
491,579,520,343,4,42
488,583,522,352,4,23
492,584,524,372,4,42
488,577,527,404,4,23
488,577,530,450,4,43
485,575,532,511,4,23
472,570,534,585,4,42
473,571,536,668,4,23
498,579,536,758,4,43
468,567,537,846,4,23
482,572,537,931,4,43
483,574,538,971,4,23
484,576,539,971,4,42
486,577,540,971,4,23
481,575,542,971,4,42
479,573,544,972,4,23
477,571,546,972,4,43
478,569,548,972,4,23
479,567,551,972,4,43
478,566,553,972,4,23
479,566,555,972,4,43
480,574,558,972,4,23
487,582,560,972,4,42
487,583,562,972,4,23
486,586,565,972,4,43
485,588,568,972,4,23
486,591,570,971,4,43
484,591,572,971,4,24
482,586,574,971,4,42
479,581,575,886,4,23
480,583,577,802,4,43
481,579,579,721,4,23
480,579,581,648,4,43
483,583,582,584,4,23
484,583,583,530,4,42
482,586,585,485,4,23
481,591,586,454,4,43
480,592,587,434,4,23
479,583,588,425,4,43
477,580,587,425,4,23
479,578,586,431,4,43
480,578,585,439,4,23
483,582,584,449,4,42
487,588,583,459,4,23
489,588,582,466,4,42
487,582,580,472,4,23
484,577,579,475,4,43
487,576,576,475,4,23
483,578,574,471,4,43
483,579,571,463,4,23
481,576,568,455,4,42
482,581,563,446,4,24
483,583,560,435,4,43
483,583,556,424,4,23
481,581,553,413,4,43
481,582,550,403,4,23
481,582,546,392,4,42
480,579,543,381,4,23
480,580,540,371,4,42
