index,acc_x,acc_z,resp,pzt,eda,emg
1,451,588,767,554,1,33
2,451,588,783,568,1,33
3,451,588,798,579,2,33
4,452,588,812,583,2,33
5,434,595,825,571,2,33
6,454,588,837,572,2,33
7,452,588,849,556,1,33
8,450,589,859,535,1,33
9,455,587,869,516,1,33
10,463,583,879,497,1,33
11,448,582,888,477,1,33
12,460,582,896,446,1,33
13,448,587,904,438,1,33
14,437,593,912,415,1,33
15,449,587,918,413,1,33
16,448,586,924,408,1,33
17,450,586,931,408,1,33
18,464,587,936,403,1,33
19,449,586,941,420,1,33
20,449,587,947,423,1,33
21,448,587,951,423,1,33
22,450,586,955,419,1,32
23,448,586,959,416,1,33
24,447,587,962,411,1,33
25,449,585,966,412,1,33
26,449,585,970,414,1,33
27,449,585,973,422,1,33
28,448,587,976,430,1,33
29,449,587,979,443,1,33
30,448,584,981,458,1,33
31,448,585,984,472,1,33
32,448,586,986,485,1,33
33,448,584,987,502,1,33
34,452,589,988,508,1,33
35,449,584,988,536,1,33
36,446,585,988,556,2,33
37,446,585,989,574,1,33
38,440,583,990,580,2,33
39,444,583,991,604,2,33
40,444,584,990,613,2,33
41,443,585,989,619,2,33
42,447,583,988,621,2,33
43,445,584,985,626,2,33
44,444,584,984,627,2,33
45,445,584,982,625,2,33
46,436,589,979,612,2,33
47,444,583,976,614,2,33
48,444,584,974,601,2,33
49,444,583,971,585,2,33
50,444,583,967,571,1,33
51,445,583,964,560,1,33
52,444,584,962,547,1,33
53,444,584,960,536,1,33
54,446,583,958,524,1,33
55,445,583,955,516,1,33
56,445,583,950,507,1,33
57,444,583,946,504,1,33
58,446,583,941,502,1,33
59,428,588,936,492,1,33
60,445,584,930,503,1,33
61,445,584,925,504,1,33
62,427,579,918,492,1,33
63,435,583,911,484,1,33
64,445,584,904,487,1,33
65,444,584,897,481,1,33
66,446,584,891,476,1,33
67,421,587,883,464,1,33
68,445,583,876,473,1,33
69,445,583,868,478,1,33
70,444,583,860,485,1,33
71,443,591,851,487,1,33
72,444,583,843,504,1,33
73,445,584,835,516,1,33
74,445,583,828,528,1,33
75,445,583,821,539,1,33
76,444,584,814,544,1,33
77,444,583,806,546,1,33
78,445,583,798,543,1,33
79,446,583,791,540,1,33
80,444,584,783,534,1,33
81,444,584,775,530,1,33
82,446,583,768,526,1,33
83,444,583,761,525,1,33
84,445,583,755,525,1,33
85,444,584,749,529,1,33
86,445,583,743,534,1,33
87,445,583,737,540,1,33
88,444,583,732,546,1,33
89,444,583,726,551,1,33
90,446,583,720,552,1,33
91,433,579,715,545,1,33
92,444,583,710,555,1,33
93,444,584,704,561,1,33
94,445,583,700,571,1,33
95,444,583,696,585,2,33
96,445,583,691,604,2,33
97,443,584,687,626,2,33
98,445,584,682,650,2,33
99,444,584,677,664,2,33
100,444,583,673,685,2,33
101,445,584,668,692,2,33
102,446,584,664,686,2,33
103,443,581,660,670,2,33
104,444,584,655,665,2,33
105,445,584,651,667,2,33
106,445,583,647,681,2,33
107,444,583,643,707,2,33
108,444,583,639,739,2,33
109,444,583,635,771,2,33
110,446,583,632,800,2,33
111,445,583,629,824,2,33
112,444,583,625,837,2,33
113,445,584,622,841,2,33
114,444,584,618,835,2,33
115,444,584,614,825,2,33
116,444,583,610,810,2,33
117,445,584,606,793,2,33
118,445,583,602,773,2,33
119,444,583,598,748,2,33
120,445,583,595,716,2,33
121,445,583,592,675,2,33
122,445,583,589,630,2,33
123,444,583,586,579,2,33
124,444,583,583,526,1,33
125,444,583,580,476,1,33
126,445,585,577,430,1,33
127,445,583,575,393,1,33
128,445,583,573,359,1,33
129,444,583,571,332,1,33
130,444,584,569,309,1,33
131,444,584,567,295,1,33
132,444,583,565,290,1,33
133,445,583,563,296,1,33
134,445,584,560,309,1,33
135,444,583,559,330,1,33
136,444,583,556,356,1,33
137,444,584,553,392,1,33
138,446,584,551,434,1,33
139,444,583,548,485,1,33
140,445,583,545,543,2,33
141,444,584,543,606,2,33
142,445,584,541,671,2,33
143,445,583,539,728,2,33
144,444,583,537,768,2,33
145,444,584,535,793,2,32
146,444,584,533,801,2,33
147,444,583,531,793,2,33
148,445,583,530,769,2,33
149,444,584,528,735,2,33
150,446,584,526,690,2,33
151,444,584,525,639,2,33
152,445,583,524,585,2,33
153,444,583,523,536,1,33
154,445,584,523,494,1,33
155,444,583,522,465,1,33
156,445,584,521,446,1,33
157,445,584,521,437,1,33
158,443,584,520,430,1,33
159,444,584,520,431,1,33
160,444,583,519,435,1,33
161,445,583,519,445,1,33
162,446,584,519,457,1,33
