acc_x,acc_z,resp,pzt,eda,emg
517,409,401,463,0,0
516,409,398,462,0,0
516,409,393,463,0,0
516,408,389,464,0,0
516,409,385,465,0,0
516,409,382,467,0,0
516,409,380,470,0,0
516,409,377,472,0,0
517,409,376,473,0,0
515,409,374,471,0,0
516,409,371,470,0,0
516,408,370,467,0,0
516,409,371,465,0,0
516,408,373,463,0,0
515,409,376,461,0,0
516,409,379,460,0,0
516,409,380,457,0,0
516,409,379,455,0,0
516,409,378,454,0,0
516,409,376,454,0,0
517,409,372,454,0,0
516,409,369,454,0,0
516,409,367,452,0,0
516,409,366,451,0,0
515,408,365,449,0,0
516,409,365,447,0,0
516,409,366,447,0,0
516,409,367,445,0,0
517,409,368,443,0,0
516,409,369,441,0,0
516,409,371,441,0,0
516,409,373,440,0,0
517,409,375,441,0,0
516,409,377,441,0,0
516,409,379,442,0,0
516,409,380,443,0,0
517,409,382,441,0,0
516,409,383,441,0,0
516,408,385,438,0,0
516,409,387,436,0,0
517,408,390,436,0,0
517,409,392,436,0,0
517,409,395,436,0,0
517,409,397,437,0,0
518,408,399,439,0,0
517,409,401,440,0,0
516,409,403,440,0,0
516,409,403,439,0,0
517,409,405,438,0,0
516,408,406,437,0,0
516,409,407,437,0,0
517,410,408,436,0,0
522,411,408,435,0,0
512,413,409,435,0,0
500,394,410,434,0,0
473,456,411,432,0,0
481,403,411,432,0,0
486,386,411,431,0,0
459,317,411,433,0,0
476,351,411,434,0,0
310,423,411,434,0,0
402,603,411,434,0,0
589,420,411,435,0,0
859,579,412,435,0,0
831,370,412,439,0,0
702,547,413,440,0,0
452,608,414,444,0,0
386,498,415,448,0,0
496,497,417,453,0,0
679,593,417,457,0,0
622,494,419,463,0,0
551,424,422,467,0,0
530,500,425,471,0,0
526,515,430,474,0,0
532,433,433,476,0,0
497,510,436,478,0,0
501,417,437,479,0,0
525,453,436,480,0,0
527,442,435,479,0,0
554,458,433,476,0,0
582,432,432,474,0,0
639,435,432,472,0,0
659,470,433,470,0,0
569,459,435,468,0,0
576,463,437,468,0,0
582,470,440,467,0,0
612,504,442,470,0,0
627,479,444,470,0,0
603,465,447,472,0,0
569,534,449,474,0,0
517,476,451,474,0,0
444,600,453,476,0,0
491,563,455,476,0,0
443,671,456,476,0,0
478,633,457,476,0,0
468,583,458,474,0,0
476,547,459,472,0,0
465,617,460,469,0,0
436,618,461,468,0,0
435,615,463,465,0,0
466,614,464,464,0,0
509,613,467,462,0,0
502,627,467,461,0,0
499,611,470,462,0,0
508,615,471,463,0,0
515,615,473,463,0,0
509,614,474,464,0,0
511,616,475,464,0,0
510,614,476,461,0,0
509,613,478,458,0,0
508,614,479,456,0,0
510,615,481,455,0,0
512,612,480,456,0,0
510,614,480,456,0,0
511,612,478,457,0,0
510,614,475,456,0,0
510,614,471,455,0,0
508,613,465,453,0,0
511,614,459,454,0,0
513,613,452,454,0,0
511,614,446,455,0,0
511,614,438,455,0,0
511,614,430,456,0,0
511,614,423,456,0,0
511,614,416,455,0,0
510,614,409,453,0,0
508,614,403,453,0,0
510,614,397,454,0,0
511,614,393,452,0,0
511,614,389,451,0,0
511,613,386,449,0,0
511,614,386,449,0,0
511,613,383,449,0,0
510,614,382,446,0,0
510,614,381,443,0,0
510,613,380,442,0,0
511,614,380,442,0,0
510,614,380,441,0,0
510,613,379,439,0,0
511,614,383,438,0,0
511,614,388,438,0,0
509,614,393,439,0,0
510,614,398,441,0,0
510,615,401,440,0,0
511,613,406,442,0,0
510,614,408,441,0,0
510,614,411,441,0,0
511,613,416,440,0,0
511,614,421,440,0,0
511,614,428,440,0,0
510,613,436,443,0,0
511,614,447,443,0,0
510,613,455,443,0,0
510,613,465,443,0,0
511,614,475,445,0,0
510,613,484,446,0,0
510,613,494,448,0,0
510,613,503,449,0,0
510,614,513,449,0,0
511,613,524,448,0,0
511,613,534,448,0,0
510,613,545,451,0,0
510,614,555,454,0,0
510,614,565,457,0,0
511,614,575,460,0,0
510,614,585,464,0,0
510,614,596,467,0,0
510,613,608,471,0,0
511,614,619,475,0,0
510,613,630,478,0,0
510,614,640,481,0,0
510,614,652,483,0,0
511,613,664,485,0,0
510,614,676,484,0,0
511,613,688,483,0,0
510,614,701,480,0,0
511,614,714,477,0,0
510,614,729,476,0,0
510,614,743,475,0,0
510,614,760,474,0,0
511,613,775,475,0,0
510,613,790,474,0,0
510,614,804,476,0,0
511,614,817,476,0,0
511,614,828,476,0,0
511,614,839,473,0,0
510,614,847,472,0,0
510,614,855,472,0,0
511,613,861,471,0,0
510,614,866,470,0,0
510,613,870,471,0,0
510,613,871,471,0,0
511,614,872,472,0,0
510,614,871,470,0,0
510,613,870,470,0,0
510,614,867,468,0,0
511,613,865,469,0,0
511,614,864,466,0,0
510,613,862,465,0,0
510,614,862,465,0,0
510,614,862,465,0,0
510,613,862,464,0,0
510,613,861,465,0,0
511,614,861,465,0,0
511,614,861,467,0,0
511,614,861,469,0,0
510,614,860,472,0,0
511,614,860,471,0,0
511,614,859,470,0,0
510,614,857,469,0,0
510,613,856,468,0,0
510,614,854,467,0,0
511,614,851,466,0,0
510,613,849,464,0,0
510,614,846,461,0,0
510,613,843,459,0,0
511,613,839,459,0,0
511,614,835,458,0,0
511,613,830,457,0,0
510,614,825,455,0,0
511,614,822,455,0,0
511,613,819,454,0,0
511,613,817,454,0,0
511,614,814,456,0,0
511,614,810,458,0,0
510,613,805,460,0,0
510,614,800,462,0,0
510,614,796,461,0,0
511,614,791,463,0,0
510,614,786,463,0,0
510,613,781,463,0,0
510,613,776,463,0,0
512,614,773,463,0,0
511,614,769,462,0,0
510,614,767,460,0,0
510,614,764,458,0,0
511,613,761,457,0,0
510,614,759,457,0,0
510,613,756,457,0,0
510,614,754,457,0,0
511,613,752,457,0,0
510,614,750,456,0,0
510,614,748,455,0,0
510,614,746,455,0,0
511,614,744,454,0,0
510,614,742,453,0,0
510,614,739,453,0,0
510,613,737,452,0,0
511,614,735,454,0,0
510,614,732,454,0,0
510,614,730,455,0,0
510,613,728,455,0,0
511,614,726,456,0,0
510,614,723,456,0,0
510,613,721,458,0,0
510,613,719,458,0,0
511,613,716,456,0,0
510,613,712,456,0,0
510,613,710,457,0,0
510,614,706,456,0,0
511,614,704,456,0,0
510,614,700,455,0,0
510,614,697,456,0,0
510,614,694,454,0,0
510,613,690,456,0,0
511,614,687,457,0,0
511,614,684,460,0,0
511,614,680,464,0,0
511,614,678,468,0,0
510,614,675,471,0,0
510,613,672,475,0,0
510,614,670,478,0,0
511,613,668,480,0,0
510,614,665,482,0,0
510,614,663,483,0,0
510,614,660,482,0,0
511,614,657,483,0,0
509,613,655,482,0,0
511,614,653,482,0,0
510,614,651,482,0,0
511,614,649,482,0,0
511,614,647,481,0,0
510,614,646,481,0,0
510,613,644,482,0,0
511,614,643,483,0,0
510,613,642,480,0,0
510,613,641,480,0,0
510,613,640,481,0,0
510,613,639,483,0,0
509,613,639,484,0,0
510,613,638,485,0,0
511,614,638,485,0,0
