index,acc_x,acc_z,resp,pzt,eda,emg
1,3,0,609,503,0,31
2,0,0,576,501,0,32
3,0,0,536,501,0,30
4,0,0,495,502,0,32
5,0,0,458,506,0,31
6,0,0,425,510,0,33
7,0,0,397,514,0,31
8,0,0,375,515,0,32
9,3,0,364,518,0,30
10,0,0,374,521,0,33
11,0,0,408,521,0,30
12,0,0,454,523,0,33
13,3,0,496,523,0,30
14,0,0,534,522,0,33
15,0,0,568,520,0,30
16,0,0,592,518,0,32
17,1,0,609,513,0,30
18,0,0,620,509,0,32
19,0,0,626,505,0,30
20,0,0,625,504,0,32
21,3,0,619,503,0,30
22,0,0,608,499,0,32
23,0,0,589,496,0,30
24,0,0,564,496,0,32
25,3,0,531,496,0,31
26,0,0,492,498,0,32
27,0,0,454,499,0,30
28,0,0,422,500,0,32
29,3,0,393,504,0,31
30,0,0,366,504,0,32
31,0,0,342,504,0,31
32,0,0,319,505,0,32
33,3,0,299,504,0,30
34,0,0,280,504,0,32
35,0,0,262,504,0,30
36,0,0,245,504,0,32
37,1,0,230,503,0,31
38,0,0,215,502,0,32
39,0,0,201,501,0,30
40,0,0,189,499,0,32
41,3,0,176,497,0,31
42,0,0,165,496,0,32
43,0,0,155,494,0,30
44,0,0,145,493,0,32
45,3,0,135,492,0,30
46,0,0,127,493,0,32
47,0,0,119,493,0,31
48,0,0,111,493,0,32
49,0,0,103,494,0,30
50,0,0,98,495,0,33
51,0,0,91,497,0,30
52,0,0,86,500,0,33
53,3,0,81,504,0,31
54,0,0,77,507,0,32
55,0,0,73,508,0,30
56,0,0,68,512,0,33
57,3,0,64,515,0,30
58,0,0,59,519,0,33
59,0,0,56,522,0,30
60,0,0,52,524,0,32
61,3,0,49,526,0,31
62,0,0,45,523,0,32
63,0,0,43,520,0,31
64,0,0,39,516,0,33
65,3,0,37,511,0,31
66,0,0,35,508,0,33
67,0,0,32,505,0,31
68,0,0,31,504,0,32
69,3,0,29,504,0,31
70,0,0,27,504,0,32
71,0,0,25,503,0,30
72,0,0,25,503,0,32
73,3,0,25,503,0,30
74,0,0,27,501,0,32
75,0,0,29,502,0,30
76,0,0,31,501,0,32
77,3,0,34,500,0,30
78,0,0,37,499,0,32
79,0,0,39,499,0,30
80,0,0,41,498,0,32
81,1,0,44,497,0,30
82,0,0,45,497,0,32
83,0,0,47,497,0,30
84,0,0,49,498,0,32
85,3,0,51,498,0,31
86,0,0,53,497,0,33
87,0,0,55,497,0,30
88,0,0,57,499,0,32
89,3,0,60,502,0,31
90,0,0,64,503,0,32
91,0,0,67,504,0,30
92,0,0,71,502,0,32
93,0,0,76,499,0,30
94,0,0,79,499,0,32
95,0,0,83,501,0,31
96,0,0,88,503,0,32
97,3,0,92,503,0,30
98,0,0,96,502,0,32
99,0,0,101,502,0,31
100,0,0,106,500,0,32
101,3,0,111,499,0,30
102,0,0,117,498,0,32
103,0,0,121,498,0,30
104,0,0,126,498,0,33
105,3,0,130,495,0,30
106,0,0,133,492,0,32
107,0,0,137,490,0,31
108,0,0,140,490,0,32
109,3,0,144,492,0,30
110,0,0,146,493,0,32
111,0,0,148,494,0,31
112,0,0,151,492,0,32
113,3,0,154,491,0,30
114,0,0,156,492,0,32
115,0,0,157,495,0,31
116,0,0,159,497,0,32
117,3,0,160,499,0,30
118,0,0,162,503,0,33
119,0,0,164,506,0,30
120,0,0,167,508,0,32
121,3,0,168,510,0,30
122,0,0,170,512,0,32
123,0,0,173,515,0,30
124,0,0,175,517,0,33
125,1,0,176,518,0,30
126,0,0,178,519,0,32
127,0,0,180,519,0,30
128,0,0,181,521,0,32
129,3,0,183,522,0,30
130,0,0,185,523,0,32
131,0,0,187,522,0,30
132,0,0,189,521,0,32
133,3,0,193,523,0,31
134,0,0,196,523,0,32
135,0,0,199,524,0,30
136,0,0,203,525,0,32
137,0,0,207,527,0,30
138,0,0,210,527,0,32
139,0,0,212,528,0,30
140,0,0,215,527,0,32
141,3,0,218,523,0,30
142,0,0,220,520,0,32
143,0,0,223,517,0,30
144,0,0,224,512,0,32
145,3,0,227,510,0,30
